year,gdp_growth,inflation,unemployment,gdp_per_capita,population,food_production_index,cereal_yield,cereal_production_tonnes,agricultural_land_pct,dietary_energy_supply_adequacy,economic_stress_score,data_completeness_score,latitude,longitude,food_pressure_score,income_group_Low_income,income_group_Lower_middle_income,income_group_Not_classified,income_group_Upper_middle_income,inflation_unemployment,inflation_minus_growth,inflation_squared
2021,-5.126664870034081,5.13320340824962,12.006,5.879124772192372,17.504400337024908,114.32,2099.1,15.419116296285626,58.6849,105.0,81.68,100.0,34.5228,69.1761,61.04983349348552,True,False,False,False,61.62924011944494,10.259868278283701,26.349777230465513
2022,-5.126664870034081,13.7121023720064,14.1,5.881262197551399,17.51875738037342,111.43,2193.4,15.38464634072497,58.6849,106.0,85.2,100.0,34.5228,69.1761,63.26156675413219,True,False,False,False,193.34064344529025,18.838767242040483,188.02175146038357
2002,10.299999301348668,15.438486221558357,16.432,6.90782113272749,16.667816935053647,63.46,686.52,13.506019045914837,35.6445,97.0,71.66,100.0,-8.81155,13.242,96.11440896266082,False,True,False,False,253.6852055926469,5.138486920209688,238.34685681324723
2003,3.48731240097521,15.438486221558357,16.445,7.034091251202417,16.702750360850082,63.46,686.52,13.50972300604587,35.6934,97.0,82.54,100.0,-8.81155,13.242,96.48049991369491,False,True,False,False,253.88590591352718,11.951173820583147,238.34685681324723
2004,10.299999301348668,15.438486221558357,16.313,7.281021645999032,16.738694934122538,63.46,686.52,13.517565749999404,35.5418,97.0,72.54,100.0,-8.81155,13.242,96.706172417757,False,True,False,False,251.84802573228146,5.138486920209688,238.34685681324723
2005,10.299999301348668,15.438486221558357,16.295,7.671773797388704,16.775157621533175,63.46,686.52,13.726555839363485,35.44,97.0,71.12,100.0,-8.81155,13.242,95.97399051568884,False,True,False,False,251.57013298029344,5.138486920209688,238.34685681324723
2006,10.299999301348668,13.3052101780031,16.123,7.983250510961242,16.812006539818828,63.46,686.52,13.491587648116116,35.4031,97.0,71.39,100.0,-8.81155,13.242,96.97921044392608,False,True,False,False,214.519903699944,3.0052108766544308,177.02861788083726
2007,10.299999301348668,12.2514974459486,16.066,8.165095410513464,16.849432340085887,63.46,686.52,13.568284333009109,35.4897,97.0,69.95,100.0,-8.81155,13.242,94.89243956740312,False,True,False,False,196.83255796661018,1.951498144599931,150.09918966808505
2008,10.299999301348668,12.4758291326397,16.152,8.42926982003488,16.887215235966003,64.82,686.52,13.534091498504308,35.4496,99.0,63.9,100.0,-8.81155,13.242,91.43314898784966,False,True,False,False,201.50959215039643,2.175829831291031,155.64631254682143
2009,1.99558909788963,13.7302839288408,16.383,8.20142667454938,16.92523085298683,80.89,686.52,13.870798612661437,35.7985,104.0,75.76,100.0,-8.81155,13.242,84.52271166625995,False,True,False,False,224.94324160619882,11.73469483095117,188.52069676658394
2010,5.29366572819954,14.4696564932576,16.595,8.319385254621642,16.9637418337911,85.77,686.52,13.98267194456269,35.975,109.0,75.28,100.0,-8.81155,13.242,81.05398513507633,False,True,False,False,240.12394950560986,9.17599076505806,209.37095903287184
2011,3.59386960240222,13.4824679218511,16.77,8.553554568928021,17.002621292125475,93.77,686.52,14.161103219634498,36.3488,113.0,74.15,100.0,-8.81155,13.242,70.4774112937856,False,True,False,False,226.10098704944295,9.88859831944888,181.77694126374394
2012,8.50312283866612,10.2779049218839,16.539,8.648827070886327,17.041457126105513,78.69,686.52,13.14320996938362,36.3383,115.0,67.45,100.0,-8.81155,13.242,85.58014252342126,False,True,False,False,169.98626950303785,1.7747820832177794,105.6353295832853
